id, timestamp, combined_elec_kwh, combined_heat_kwh, combined_cop, combined_data_length, combined_elec_mean, combined_heat_mean, combined_flowT_mean, combined_returnT_mean, combined_outsideT_mean, combined_roomT_mean, combined_prc_carnot, combined_cooling_kwh, combined_starts, combined_starts_per_hour, running_elec_kwh, running_heat_kwh, running_cop, running_data_length, running_elec_mean, running_heat_mean, running_flowT_mean, running_returnT_mean, running_outsideT_mean, running_roomT_mean, running_prc_carnot, space_elec_kwh, space_heat_kwh, space_cop, space_data_length, space_elec_mean, space_heat_mean, space_flowT_mean, space_returnT_mean, space_outsideT_mean, space_roomT_mean, space_prc_carnot, water_elec_kwh, water_heat_kwh, water_cop, water_data_length, water_elec_mean, water_heat_mean, water_flowT_mean, water_returnT_mean, water_outsideT_mean, water_roomT_mean, water_prc_carnot, from_energy_feeds_elec_kwh, from_energy_feeds_heat_kwh, from_energy_feeds_cop, quality_elec, quality_heat, quality_flowT, quality_returnT, quality_outsideT, quality_roomT, unit_rate_agile, unit_rate_cosy, unit_rate_go
36,2024-02-18 08:00:00, 11.7305, 71.198, 6.069, 86400, 488.8, 2966.6, 36, 31.29, 11.82, 18.83, 70.684, 0, , , 11.426, 70.711, 6.189, 33240, 1237.5, 7658.2, 38.52, 33.65, 11.78, 18.72, 71.319, 7.0459, 46.9178, 6.659, 25680, 987.7, 6577.3, 36.09, 31.67, 11.84, 18.73, 70.315, 4.3801, 23.7932, 5.432, 7560, 2085.8, 11330.1, 46.75, 40.35, 11.58, 18.68, 73.396, 11.7368, 71.1885, 6.065, 100, 100, 100, 100, 100, 99.931, , , 
36,2024-02-19 08:00:00, 12.562, 57.431, 4.572, 86400, 523.4, 2393, 33.71, 32.24, 10.33, 18.95, 54.473, 0, , , 12.2865, 57.283, 4.662, 37500, 1179.5, 5499.2, 38.26, 34.26, 10.14, 19.05, 54.844, 10.1583, 48.8523, 4.809, 34020, 1074.9, 5169.6, 37.27, 33.42, 10.17, 19.01, 54.434, 2.1283, 8.4307, 3.961, 3480, 2201.6, 8721.4, 47.88, 42.52, 9.86, 19.49, 57.374, 12.5649, 57.4492, 4.572, 100, 100, 100, 100, 100, 99.931, , , 
36,2024-02-20 08:00:00, 11.7795, 53.672, 4.556, 86400, 490.8, 2236.3, 32.97, 31.05, 10.16, 18.55, 54.986, 0, , , 11.4645, 53.603, 4.676, 32280, 1278.6, 5978, 38.34, 34.13, 9.72, 18.4, 56.058, 8.3763, 41.4629, 4.95, 26890, 1121.4, 5551, 36.83, 32.77, 9.98, 18.55, 55.727, 3.0882, 12.1401, 3.931, 5390, 2062.6, 8108.4, 45.86, 40.93, 8.45, 17.67, 57.218, 11.772, 53.6885, 4.561, 100, 100, 100, 100, 100, 99.931, , , 
36,2024-02-21 08:00:00, 16.3765, 77.25, 4.717, 86400, 682.4, 3218.8, 35, 31.01, 9.78, 19.11, 57.051, 0, , , 16.17, 77.2455, 4.777, 50880, 1144.1, 5465.5, 38.91, 35.06, 9.45, 19.14, 58.125, 13.522, 66.0881, 4.887, 46320, 1050.9, 5136.4, 38.02, 34.29, 9.41, 19.15, 57.615, 2.648, 11.1574, 4.214, 4560, 2090.5, 8808.5, 47.94, 42.91, 9.85, 19.13, 61.362, 16.376, 77.25, 4.717, 100, 100, 100, 100, 100, 99.931, , , 
36,2024-02-22 08:00:00, 16.6215, 67.946, 4.088, 86400, 692.6, 2831.1, 33.53, 32.67, 6.96, 17.78, 57.66, 0, , , 16.3405, 67.906, 4.156, 37980, 1548.9, 6436.6, 40.96, 36.57, 6.19, 17.98, 57.511, 13.1486, 55.465, 4.218, 32580, 1452.9, 6128.7, 39.93, 35.59, 6.15, 18, 57.123, 3.1919, 12.441, 3.898, 5400, 2127.9, 8294, 47.2, 42.48, 6.42, 17.85, 59.294, 16.6074, 67.9648, 4.092, 100, 100, 100, 100, 100, 99.931, , , 
36,2024-02-23 08:00:00, 24.505, 95.9335, 3.915, 86400, 1021, 3997.2, 38.16, 34.34, 4.99, 17.91, 57.078, 0, , , 24.2915, 95.801, 3.944, 51240, 1706.7, 6730.7, 41.59, 36.86, 4.47, 18.19, 57.234, 21.3753, 85.5634, 4.003, 46560, 1652.7, 6615.7, 40.95, 36.21, 4.47, 18.19, 57.299, 2.9162, 10.2376, 3.511, 4680, 2243.2, 7875.1, 47.97, 43.38, 4.53, 18.21, 56.713, 24.5186, 95.9697, 3.914, 100, 100, 100, 100, 100, 99.931, , , 
36,2024-02-24 08:00:00, 21.7025, 77.0585, 3.551, 86400, 904.3, 3210.8, 34.43, 30.26, 4.4, 17.61, 52.285, 0, , , 21.5225, 76.9745, 3.576, 54900, 1411.3, 5047.5, 34.92, 31.29, 3.34, 17.5, 52.616, 15.6693, 56.4769, 3.604, 45790, 1231.9, 4440.2, 32.72, 29.28, 3.11, 17.51, 51.213, 5.8532, 20.4976, 3.502, 9110, 2313, 8100, 45.97, 41.38, 4.45, 17.43, 56.91, 21.8003, 77.1514, 3.539, 100, 100, 100, 100, 100, 98.125, , , 
36,2024-02-25 08:00:00, 30.3655, 113.145, 3.726, 86400, 1265.2, 4714.4, 38.04, 34.31, 4.43, 18.28, 55.483, 0, , , 30.252, 113.064, 3.737, 67560, 1612, 6024.7, 39.09, 34.85, 3.79, 18.29, 55.635, 27.3492, 102.788, 3.758, 62990, 1563.1, 5874.6, 38.53, 34.32, 3.74, 18.29, 55.562, 2.9028, 10.2756, 3.54, 4570, 2286.7, 8094.6, 46.81, 42.09, 4.46, 18.38, 56.369, 30.3198, 113.154, 3.732, 100, 100, 100, 100, 100, 96.528, , , 
36,2024-02-26 08:00:00, 20.4405, 83.044, 4.063, 86400, 851.7, 3460.2, 36.16, 34.06, 5.72, 18.19, 56.273, 0, , , 20.183, 82.904, 4.108, 43140, 1684.3, 6918.3, 40.32, 35.51, 5.92, 18.24, 56.361, 16.2699, 69.5386, 4.274, 37620, 1556.9, 6654.4, 39.31, 34.53, 6.12, 18.24, 56.652, 3.9131, 13.3654, 3.416, 5520, 2552, 8716.6, 47.22, 42.2, 4.58, 18.18, 54.901, 20.4561, 83.1113, 4.063, 100, 100, 100, 100, 100, 99.931, , , 
36,2024-02-27 08:00:00, 27.72, 105.912, 3.821, 86400, 1155, 4413, 35.79, 33.17, 5.11, 18.05, 54.698, 0, , , 27.617, 105.896, 3.834, 69240, 1435.9, 5505.8, 37.22, 33.24, 4.6, 18.1, 54.751, 24.0763, 93.9283, 3.901, 64080, 1352.6, 5276.9, 36.42, 32.53, 4.68, 18.07, 54.723, 3.5408, 11.9673, 3.38, 5160, 2470.3, 8349.2, 47.15, 42.09, 3.61, 18.46, 55.016, 27.7192, 105.911, 3.821, 100, 100, 100, 100, 100, 100, , , 
36,2024-02-28 08:00:00, 21.7, 95.1895, 4.387, 86400, 904.2, 3966.2, 36.34, 35.02, 7.89, 17.6, 56.863, 0, , , 21.5115, 95.059, 4.419, 56640, 1367.3, 6041.9, 39.54, 35.27, 8.1, 17.69, 56.833, 17.2769, 78.8454, 4.564, 50290, 1236.8, 5644.1, 38.61, 34.47, 8.29, 17.66, 56.673, 4.2346, 16.2136, 3.829, 6350, 2400.7, 9192, 46.9, 41.57, 6.54, 17.91, 57.634, 21.6558, 95.1953, 4.396, 100, 100, 100, 100, 100, 100, , , 
36,2024-02-29 08:00:00, 18.3415, 80.34, 4.38, 86400, 764.2, 3347.5, 35.01, 34.29, 8.6, 17.94, 57.399, 0, , , 18.1305, 80.2825, 4.428, 47520, 1373.5, 6082, 40.12, 35.93, 8.12, 18.26, 56.894, 14.8762, 68.0914, 4.577, 41980, 1275.7, 5839.2, 38.85, 34.7, 8.14, 18.24, 56.802, 3.2543, 12.1911, 3.746, 5540, 2114.7, 7922, 49.69, 45.22, 7.96, 18.41, 57.439, 18.3501, 80.4844, 4.386, 100, 100, 100, 100, 100, 100, , , 
